gp_surgery_id,prob
B82007,0.005834351716797414
B82020,0.012622698781881972
B82028,0.012465013600346908
B82053,0.012409823786809635
B83002,0.003555800843615721
B83005,0.013458430244017818
B83006,0.013758032088934443
B83008,0.020672527299247054
B83009,0.01029684235423976
B83010,0.019639689360192374
B83011,0.009074782197343005
B83012,0.020530610635865493
B83013,0.006267985966018843
B83014,0.013797453384318209
B83015,0.015531990381203927
B83016,0.014120708006465093
B83017,0.014893365395986912
B83018,0.01561083297197146
B83019,0.005211495249733906
B83020,0.009610911814562226
B83021,0.01866204123467497
B83022,0.006993337801080144
B83023,0.014822407064296132
B83025,0.007174675759845469
B83026,0.010438759017621318
B83027,0.007821185004139235
B83028,0.016178499625497694
B83029,0.013324397839713013
B83030,0.011211416407143139
B83031,0.003555800843615721
B83032,0.0074742776047620925
B83033,0.017629203295620295
B83034,0.01621792092088146
B83035,0.01873299956636575
B83037,0.009823786809634565
B83038,0.03614144360783696
B83039,0.01907202270666614
B83040,0.01293018488587535
B83041,0.024015453147790435
B83042,0.011755430283439113
B83045,0.025198092009303424
B83049,0.006220680411558324
B83051,0.004974967477431308
B83052,0.045831198013166714
B83054,0.007568888713683132
B83055,0.05108211455828438
B83056,0.014585879291993535
B83058,0.012922300626798597
B83061,0.0029960184491662394
B83062,0.018165332912839515
B83063,0.0281546891630859
B83064,0.01599716166673237
B83067,0.007537351677376118
B83602,0.012835573776954311
B83604,0.006835652619545079
B83611,0.010249536799779241
B83614,0.022627823550281864
B83617,0.005400717467575984
B83620,0.0020026018054953285
B83621,0.006378365593093389
B83622,0.010691055308077423
B83624,0.013387471912327038
B83626,0.01730594867347341
B83627,0.008010407221981314
B83628,0.021255962470926794
B83629,0.005014388772815075
B83641,0.020294082863562896
B83642,0.005621476721725076
B83653,0.020096976386644066
B83657,0.004927661922970789
B83659,0.0051957267315804
B83660,0.016438680175030553
B83661,0.005377064690345725
Y01118,0.005479560058343517
