pc_outcome,gp_con_yes,n,prop
contact_12,4687,15438,0.3036015027853349
contact_2,18384,79158,0.23224437201546275
contact_24,6886,25584,0.26915259537210756
contact_6,15004,49239,0.3047178049919779
contact_72,1424,6168,0.23086900129701687
speak_1,9720,50839,0.1911918015696611
speak_12,634,2328,0.27233676975945015
speak_2,2848,14028,0.2030225263758198
speak_24,540,2565,0.21052631578947367
speak_6,2080,6954,0.2991084268047167
