qtr,weekday,exit_hour,max_arrival_rate,min_arrival_rate,mean_cases,sd_cases,median_cases,mean_inter_arrival_time,median_inter_arrival_time
1,0,0,8.571428571428571,60,3.5384615384615383,2.044128552332641,3,16.956521739130434,20
1,0,1,12,60,2.64,1.3503086067019396,3,22.727272727272727,20
1,0,2,10,60,2.6818181818181817,1.4601488390005426,2,22.372881355932204,30
1,0,3,20,60,2.0454545454545454,0.7854190708679775,2,29.333333333333332,30
1,0,4,15,60,1.9090909090909092,0.8678978933300583,2,31.428571428571427,30
1,0,5,12,60,1.9166666666666667,1.1000658741803746,2,31.304347826086957,30
1,0,6,10,60,2.76,1.3928388277184118,3,21.73913043478261,20
1,0,7,4.615384615384615,60,4.846153846153846,2.6029568984876823,4.5,12.380952380952381,13.333333333333334
1,0,8,3,10,11.346153846153847,3.428612637114991,11,5.288135593220339,5.454545454545454
1,0,9,1.935483870967742,6,15.23076923076923,4.429967876250954,14,3.9393939393939394,4.285714285714286
1,0,10,1.935483870967742,6,18.5,4.589117562233506,18.5,3.2432432432432434,3.2432432432432434
1,0,11,2,5.454545454545454,18.192307692307693,4.858141461663962,17,3.2980972515856233,3.5294117647058822
1,0,12,2.3076923076923075,6,17.5,4.08166632639171,17.5,3.4285714285714284,3.4285714285714284
1,0,13,2.727272727272727,5.454545454545454,16.346153846153847,3.3098919340946185,17,3.6705882352941175,3.5294117647058822
1,0,14,3.1578947368421053,6,15.038461538461538,2.7052655208798893,15,3.989769820971867,4
1,0,15,2.608695652173913,15,13.26923076923077,4.530410068041896,12.5,4.521739130434782,4.8
1,0,16,2.5,6.666666666666667,12.461538461538462,3.1903701256220316,12,4.814814814814815,5
1,0,17,3,12,12.73076923076923,4.19101603249324,12.5,4.712990936555892,4.8
1,0,18,3.5294117647058822,12,11.038461538461538,3.01304854565298,12,5.435540069686411,5
1,0,19,4,30,9.26923076923077,3.2441663620436274,9.5,6.473029045643153,6.315789473684211
1,0,20,3,30,8.5,3.6027767069303644,8,7.0588235294117645,7.5
1,0,21,4.615384615384615,30,7.769230769230769,3.037205193037735,7.5,7.7227722772277225,8
1,0,22,6,30,5.423076923076923,2.0034585480728455,5,11.063829787234042,12
1,0,23,6,30,4.846153846153846,1.993836657147374,5,12.380952380952381,12
